day	S
1755	2.827586445
1756	2.828586815
1757	2.830209664
1758	2.833175417
1759	2.835171465
1760	2.838488742
1761	2.84171113
1762	2.84116206
1763	2.840357731
1764	2.840075646
1765	2.842411881
1766	2.845541377
1767	2.847482666
1768	2.846515991
1769	2.846882815
1770	2.846682924
1771	2.8477187
1772	2.848659962
1773	2.848468672
1774	2.848578107
1775	2.849389656
1776	2.849086107
1777	2.84894902
1778	2.848554195
1779	2.848947244
1780	2.848268913
1781	2.846697353
1782	2.841872242
1783	2.837513756
1784	2.835542397
1785	2.833354212
1786	2.83149174
1787	2.832547623
1788	2.835297099
1789	2.837050434
1790	2.836556493
1791	2.831375249
1792	2.827240728
1793	2.826251807
1794	2.827601743
1795	2.83011159
1796	2.831333179
1797	2.830395553
1798	2.83267278
1799	2.835815163
1800	2.841173473
1801	2.846089866
1802	2.848921592
1803	2.849971384
1804	2.848316459
1805	2.849364976
1806	2.850105344
1807	2.851484344
1808	2.853193564
1809	2.854669034
1810	2.855795245
1811	2.854763709
1812	2.855474515
1813	2.857450848
1814	2.858867372
1815	2.861444183
1816	2.864497713
1817	2.868759865
1818	2.876580388
1819	2.878409413
1820	2.881429856
1821	2.882400318
1822	2.88280082
1823	2.884002061
1824	2.883190536
1825	2.884403364
1826	2.890446462
1827	2.899821784
1828	2.909838901
1829	2.917669587
1830	2.922123122
1831	2.927021306
1832	2.928304384
1833	2.926902844
1834	2.930348653
1835	2.934915086
1836	2.937405124
1837	2.941760801
1838	2.949908495
1839	2.958787073
1840	2.968705604
1841	2.979364561
1842	2.989251062
1843	2.999694054
1844	3.010982463
1845	3.022675944
1846	3.033575049
1847	3.044095279
1848	3.051699248
1849	3.052093617
1850	3.053117064
1851	3.055776976
1852	3.060967547
1853	3.067678792
1854	3.065118693
1855	3.058469609
1856	3.052348271
1857	3.045462524
1858	3.043308128
1859	3.044245029
1860	3.052878388
1861	3.063193793
1862	3.066335772
1863	3.069884984
1864	3.068038899
1865	3.064919002
1866	3.066188792
1867	3.08036959
1868	3.099806755
1869	3.11066663
1870	3.117984216
1871	3.123200151
1872	3.12513228
1873	3.124019036
1874	3.122260083
1875	3.124399077
1876	3.130466134
1877	3.137118666
1878	3.141253221
1879	3.145148782
1880	3.150547959
1881	3.154602665
1882	3.159631055
1883	3.165995985
1884	3.165758113
1885	3.165792879
1886	3.170227226
1887	3.17136163
1888	3.170730391
1889	3.174828618
1890	3.180060966
1891	3.182523933
1892	3.183915587
1893	3.180950252
1894	3.176375201
1895	3.176988384
1896	3.177422983
1897	3.176593221
1898	3.175545947
1899	3.172316349
1900	3.170523858
1901	3.172485382
1902	3.171922985
1903	3.171864951
1904	3.16946646
1905	3.166415037
1906	3.167553445
1907	3.166421335
1908	3.166542145
1909	3.167717299
1910	3.168466197
1911	3.170601359
1912	3.170115272
1913	3.16767125
1914	3.165501872
1915	3.16538064
1916	3.163175381
1917	3.160348357
1918	3.15849284
1919	3.158693747
1920	3.156991992
1921	3.153694558
1922	3.148541967
1923	3.145936853
1924	3.145794669
1925	3.146626995
1926	3.144348424
1927	3.146083643
1928	3.14675206
1929	3.146301116
1930	3.147659096
1931	3.147320425
1932	3.146965224
1933	3.147637797
1934	3.148717781
1935	3.148146577
1936	3.148324574
1937	3.15052758
1938	3.147287539
1939	3.143191312
1940	3.141157028
1941	3.140521187
1942	3.139835637
1943	3.139636511
1944	3.140637551
1945	3.140065165
1946	3.13903524
1947	3.136062247
1948	3.132449318
1949	3.128460102
1950	3.12619303
1951	3.121903731
1952	3.117905709
1953	3.113522971
1954	3.106949021
1955	3.10038135
1956	3.094240604
1957	3.091942863
1958	3.091233033
1959	3.090197373
1960	3.088928326
1961	3.086999998
1962	3.083618485
1963	3.082176369
1964	3.078488671
1965	3.075784226
1966	3.075851914
1967	3.075822805
1968	3.077140249
1969	3.075556352
1970	3.074112876
1971	3.071504332
1972	3.067276317
1973	3.062958068
1974	3.059959821
1975	3.062642775
1976	3.066232218
1977	3.067841106
1978	3.064502594
1979	3.061744043
1980	3.057702778
1981	3.050915144
1982	3.045220441
1983	3.040881624
1984	3.039121899
1985	3.039173657
1986	3.03593281
1987	3.035783538
1988	3.032271053
1989	3.029495718
1990	3.029687544
1991	3.03005045
1992	3.03001409
1993	3.029799674
1994	3.03058022
1995	3.03291013
1996	3.034765313
1997	3.034614072
1998	3.032877274
1999	3.029001329
2000	3.02456745
2001	3.019559049
2002	3.014501375
2003	3.009449919
2004	3.00690167
2005	3.006195269
2006	3.00422709
2007	3.000750643
2008	3.000370615
2009	3.001150025
2010	3.001817883
2011	3.002414546
2012	3.003236077
2013	3.00296726
2014	3.003650582
2015	3.004332596
2016	3.004940243
2017	3.008457652
2018	3.01120303
2019	3.011642607
2020	3.011850186
2021	3.009446503
2022	3.007638244
2023	3.005192577
2024	3.003992073
2025	3.006173699
